participantID,task,duration_s,n_channels,bad_channels,file_path
12,11,179.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_11\12_11_3.fif
12,11,175.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_11\12_11_4.fif
12,11,149.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_11\12_11_5.fif
12,12,93.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_12\12_12_1.fif
12,12,81.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_12\12_12_2.fif
12,13,150.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_13\12_13_1.fif
12,13,133.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_13\12_13_2.fif
12,14,203.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_14\12_14_1.fif
12,14,178.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_14\12_14_2.fif
12,15,169.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_15\12_15_1.fif
12,15,135.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_15\12_15_2.fif
12,16,93.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_16\12_16_1.fif
12,16,103.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_16\12_16_2.fif
12,17,261.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_17\12_17_1.fif
12,17,239.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_17\12_17_2.fif
12,18,207.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_18\12_18_1.fif
12,18,184.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_18\12_18_2.fif
12,19,294.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_19\12_19_1.fif
12,19,263.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_19\12_19_2.fif
12,2,123.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_2\12_2_1.fif
12,2,68.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_2\12_2_2.fif
12,20,189.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_20\12_20_1.fif
12,20,195.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_20\12_20_2.fif
12,21,194.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_21\12_21_1.fif
12,21,196.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_21\12_21_2.fif
12,22,240.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_22\12_22_1.fif
12,22,194.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_22\12_22_2.fif
12,22,187.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_22\12_22_3.fif
12,23,99.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_23\12_23_1.fif
12,23,78.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_23\12_23_2.fif
12,24,133.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_24\12_24_1.fif
12,24,82.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_24\12_24_2.fif
12,25,198.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_25\12_25_1.fif
12,25,98.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_25\12_25_2.fif
